target,threshold_id,operator,value,unit,project_role,evidence_tier,evidence_status,source_id,decision_status,conditions,notes
lvef,historical_primary_lt40,<,40,EF_percentage_points,PRIMARY_BINARY_ENDPOINT,DIRECT_EVIDENCE,VERIFIED_ACCEPTED_ABSTRACT,ACCEPTED_ABSTRACT_V10,READY_FOR_OWNER_LOCK,"Preserve exact historical inequality; count labels exactly equal to 40 before test-performance access.","Protocol fidelity endpoint; not rewritten to match the guideline inequality."
lvef,secondary_le40,<=,40,EF_percentage_points,SECONDARY_GUIDELINE_CLASSIFICATION_SENSITIVITY,DIRECT_EVIDENCE,VERIFIED_PRIMARY_ORGANIZATION_SUMMARY,ACC_2022_HF_SUMMARY,READY_FOR_OWNER_LOCK,"Prespecified secondary only; never selected from performance.","Matches the reduced-EF guideline boundary."
lvef,secondary_lt50,<,50,EF_percentage_points,SECONDARY_GUIDELINE_CLASSIFICATION_SENSITIVITY,DIRECT_EVIDENCE,VERIFIED_PRIMARY_ORGANIZATION_SUMMARY,ACC_2022_HF_SUMMARY,READY_FOR_OWNER_LOCK,"Prespecified secondary only; not a replacement for lvef <40.","Separates labels below the preserved-EF boundary for sensitivity analysis; not a standalone disease diagnosis."
body_surface_area,no_threshold_locked,,,UNRESOLVED,NO_PRIMARY_ECHO_THRESHOLD,UNRESOLVED,PROJECT_UNIT_AND_FORMULA_UNVERIFIED,NONE,UNRESOLVED,"Context-only target outside primary echo macro.","No project threshold is needed for the current primary question."
resting_sbp,no_threshold_locked,,,UNRESOLVED,NO_PRIMARY_ECHO_THRESHOLD,UNRESOLVED,PROJECT_TIMING_AND_SOURCE_UNVERIFIED,NONE,UNRESOLVED,"Context-only target outside primary echo macro.","Do not import hypertension thresholds without contemporaneous measurement context."
resting_dbp,no_threshold_locked,,,UNRESOLVED,NO_PRIMARY_ECHO_THRESHOLD,UNRESOLVED,PROJECT_TIMING_AND_SOURCE_UNVERIFIED,NONE,UNRESOLVED,"Context-only target outside primary echo macro.","Do not import hypertension thresholds without contemporaneous measurement context."
resting_hr,no_threshold_locked,,,UNRESOLVED,NO_PRIMARY_ECHO_THRESHOLD,UNRESOLVED,PROJECT_TIMING_AND_SOURCE_UNVERIFIED,NONE,UNRESOLVED,"Context-only target outside primary echo macro.","No universal echo-report threshold is prespecified."
left_ventricular_end_diastolic_diameter,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_UNIT_METHOD_INDEXING_UNVERIFIED,NONE,UNRESOLVED,"Raw unit method sex/body-size indexing must be verified.","Continuous native-unit reporting remains required."
septal_thickness,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_UNIT_METHOD_UNVERIFIED,NONE,UNRESOLVED,"Raw unit and definition must be verified.","Population reference limits are not model-error tolerances."
inf_lat_thickness,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_DEFINITION_UNIT_METHOD_UNVERIFIED,NONE,UNRESOLVED,"CMR-03 must establish the wall definition.","Do not assume posterior-wall thresholds."
la_dimen,no_threshold_locked,,,UNRESOLVED,NATIVE_THRESHOLD_UNRESOLVED,UNRESOLVED,PROJECT_PLANE_UNIT_UNVERIFIED,NONE,UNRESOLVED,"CMR-04 must establish plane/method.","A linear LA dimension is not interchangeable with indexed LA volume."
